emp_title,emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest
labor relations specialist,10,DE,RENT,21.56,55000,6,282145,310894,12700,1550,9.93,49.97,B,970.37,29.45
sr principal consultant,10,TX,MORTGAGE,15.07,194000,13,109700,82404,32200,24000,11.99,797.03,B,21157.61,1126.77
field supervisor,4,CA,RENT,19.42,55000,14,62148,33917,11800,4000,11.98,132.82,B,3623.07,151.69
sr it consultant,2,WA,MORTGAGE,20.1,133000,10,591587,148791,54400,24000,10.42,514.91,B,22757.9,803.65
dispatcher,3,IN,MORTGAGE,8.47,90000,12,191864,21920,22900,2500,10.9,81.73,B,2321.32,65
st fraud specialist,10,MN,MORTGAGE,3.99,72000,12,206914,3755,15100,10000,9.43,209.68,B,9603.61,222.17
instructor,6,AL,MORTGAGE,19.12,60000,5,294287,37706,2000,5000,10.42,162.33,B,4518.12,164.55
lead,10,ID,RENT,7.08,120000,5,50432,37647,12500,12600,10.91,411.98,B,11085.68,568.4
gse mechanic,5,CO,MORTGAGE,3.21,55000,5,192930,6801,20500,9000,11.98,298.85,B,8139.2,225.55
real estate broker,10,WA,RENT,5.23,289139,7,57800,20505,14600,8000,11.99,265.68,B,7245.8,303.19
accountant,1,NY,RENT,7.32,60000,4,22600,14545,22600,13000,10.41,421.99,B,11703.61,272.33
auto tech,2,CA,RENT,11.23,50000,10,33568,14360,24300,20000,11.98,664.1,B,19066.5,381.39
program director,10,FL,MORTGAGE,13.82,67400,9,216344,21433,14500,15000,9.92,318.12,B,14412.81,358.9
marketing coordinator,4,GA,RENT,13.2,40000,13,40067,35537,2700,6000,9.44,192.03,B,5264.37,221.37
media technician,10,WI,RENT,9.82,75000,7,26200,21494,22800,32000,9.93,678.81,B,30323.29,1020.88
regional staff nurse,5,NJ,RENT,19.26,75000,25,118155,33670,34500,10000,11.99,332.1,B,8815.65,469.49
hr coordinator,10,LA,RENT,5.81,70000,10,58069,15746,46500,10000,10.42,214.55,B,9350.23,408.51
haul truck driver,0,AZ,RENT,18.04,52278.85,7,107000,24676,49000,21200,10.42,688.26,B,19156.89,697.66
deputy,6,MO,MORTGAGE,31.35,40000,7,176680,36173,800,14400,9.92,464.11,B,13356.21,340.6
traffic systems specialist/electrician,10,CA,MORTGAGE,12.67,91000,10,53640,30402,17700,12000,10.9,392.3,B,11142.36,311.99
devops engineer,1,VA,RENT,16.37,100000,11,91848,24219,63700,18000,9.44,576.09,B,15793.1,664.11
foreman,10,GA,MORTGAGE,10.27,75000,12,181225,40833,24600,28000,9.43,587.1,B,26890.12,636.75
legal assistant & payroll,10,TX,MORTGAGE,28.58,69131,8,333816,50674,14500,25000,9.43,524.2,B,24009.03,555.44
manager,5,MI,OWN,6.13,55000,3,18634,11521,7000,17000,10.41,551.83,B,15776.38,412.21
corporate bookkeeper,10,NY,OWN,2.94,75000,6,448300,148,3300,16000,9.43,335.49,B,15365.77,363.86
labor,10,IL,MORTGAGE,19.76,65000,8,134688,11775,700,12000,9.92,386.76,B,11130.17,283.84
cap supervisor,2,TX,OWN,27.11,34000,10,47029,32788,8900,20000,9.92,644.6,B,19037.5,304.66
director,1,NC,MORTGAGE,11.8,135000,13,293413,41789,26000,11000,9.92,233.29,B,0.06,263.2
associate professor,9,MO,MORTGAGE,17.67,71000,13,259407,31078,52500,24500,9.93,519.71,B,22888.69,973.72
driver,10,FL,MORTGAGE,8.52,70000,10,130596,16337,7200,15000,11.98,498.08,B,13944.54,428.8
property manager,10,WV,MORTGAGE,14.11,50000,20,240758,12199,16400,10400,10.9,340,B,9656.69,264.09
editor,10,OH,MORTGAGE,80.75,50000,15,333189,122964,25300,8000,9.93,257.88,B,7223.71,250.82
cardiovascular technician,10,AZ,OWN,12.98,54000,5,36739,27830,3500,4800,10.91,156.95,B,4223.05,215.42
psychology associate senior,10,VA,MORTGAGE,20.5,80000,12,443437,272922,16500,25000,11.99,830.24,B,0,1342.56
project coordinator,2,NY,RENT,5.78,55000,5,12500,10782,9300,6000,11.98,199.23,B,5577.82,171.52
grocery clerk,0,TN,RENT,15.92,43000,22,30879,12384,9900,5000,9.44,160.03,B,4511.49,159.93
truck driver,0,MA,RENT,32.87,72000,15,116125,90151,4400,7000,9.92,225.61,B,6663.13,106.63
rn,2,GA,RENT,9.37,65000,7,29158,16497,1500,24000,10.41,779.05,B,22272.55,595.82
paralegal,5,TX,MORTGAGE,22.52,52000,17,265937,64636,25700,10000,10.42,324.65,B,9036.27,320.4
order selector,4,OH,MORTGAGE,13.69,32000,4,151264,6702,3800,8000,9.44,256.04,B,7019.16,295.16
nuclear medicine,4,TX,RENT,18.46,84000,15,72590,48402,17400,15000,9.44,480.08,B,13160.89,553.42
manager,2,CA,RENT,8.71,108254.9,23,131422,6698,76400,21000,10.9,686.52,B,20003.96,364.28
registered nurse,3,CT,MORTGAGE,23.37,85000,17,534326,118114,54000,12000,9.93,386.82,B,10538.41,465.89
oral maxillofacial surgeon,9,NY,MORTGAGE,1.48,275000,8,218147,12651,44700,40000,9.44,838.91,B,37337.22,1510.79
security supervisor,10,ME,MORTGAGE,25.31,68000,12,166146,72062,13600,12000,11.99,266.88,B,11403.21,502.22
service technician,6,VA,MORTGAGE,17.47,70000,12,267372,29347,14900,30000,11.98,667.04,B,28886.34,847.53
property manager,5,CA,OWN,9.06,55000,16,37930,15975,20100,5000,9.43,160.01,B,4634.99,109.78
metal fabricator,10,NY,OWN,29.67,50000,9,202502,37835,15600,6000,11.98,199.23,B,5719.95,110.42
carpenter,10,CA,MORTGAGE,31.4,104000,7,297257,284016,11400,18000,10.9,588.45,B,16713.54,457.09
inland marine underwriter,4,TX,MORTGAGE,12.91,115000,7,237660,55743,33900,10000,9.44,320.05,B,9023.01,297.97
driver,3,NY,RENT,0,70000,2,600,0,600,16000,10.42,519.44,B,14064.14,642.82
empowerment leader,10,IL,MORTGAGE,9.31,180000,21,394641,99831,88400,8500,9.92,273.96,B,7883.85,208.08
compensation practices manager,10,PA,MORTGAGE,26.4,77856,17,305308,59868,25200,10400,9.43,332.81,B,9539.34,226.87
director of nursing assistant,10,KY,OWN,12.46,55000,8,47065,20346,6000,13000,11.98,289.05,B,12517.41,375.91
medical billing,7,FL,OWN,16.13,40000,11,177753,17736,12000,8000,9.93,257.88,B,7025.61,306.18
security engineer,3,GA,MORTGAGE,22.84,175000,16,631405,130079,149100,40000,11.98,1328.2,B,37185.49,1263.27
supervising attorney,4,LA,RENT,27.66,86000,6,249350,262055,25400,10500,10.91,343.31,B,9495.01,352.57
sales manager,2,FL,MORTGAGE,15.48,101000,9,135747,77990,80100,40000,9.44,1280.2,B,35095.78,1454.82
nurse,2,MO,MORTGAGE,18.12,80000,34,80365,59541,10400,13000,9.93,419.05,B,11738.55,396.82
sales,2,SC,RENT,7.04,375000,4,115778,84991,30000,40000,9.44,1280.2,B,35095.78,1475.8
construction glazer,10,NY,RENT,2.43,39000,4,2534,1026,1100,3000,11.98,99.62,B,2759.47,54.72
assistant manager - onboarding,6,NJ,RENT,15.65,70000,12,84984,31919,49000,28000,9.93,593.96,B,26158.47,1112.82
allied health division chair,10,AR,OWN,16.11,170000,13,159841,87154,52900,16000,9.93,339.41,B,15161.63,501.62
sales mgr,10,MA,MORTGAGE,4.24,125000,11,504652,11308,8800,30000,9.92,966.89,B,27825.45,709.59
direct care aide,1,OH,RENT,22.67,17000,5,17289,10607,2900,2000,10.91,65.4,B,1759.32,67.79
coverage partner,10,TX,OWN,29.66,28000,8,51900,21739,33200,16000,10.42,519.44,B,14458.03,526.53
cardiac sonographer,0,NC,MORTGAGE,7.2,55000,6,266379,42869,9300,11000,11.99,244.64,B,10452.94,424.17
case manager,0,AL,MORTGAGE,28.23,40296,14,237498,123342,23400,15000,11.99,498.15,B,0,392.79
princioal,10,HI,RENT,10.35,130000,9,89368,44198,35500,8000,10.42,259.72,B,371.17,117.06
daycare teacher,2,AK,MORTGAGE,24.19,21000,10,25300,17819,21500,24000,10.42,779.16,B,21096.21,957.28
owner,10,MO,MORTGAGE,17.36,110000,11,87550,60828,24300,18000,10.91,588.54,B,15836.57,768.36
distribution,9,IL,MORTGAGE,8.57,79000,4,224818,28022,29000,20400,9.93,432.74,B,19058.33,799.52
relationship specialist,5,TX,MORTGAGE,30.96,50000,25,239445,43659,62400,12000,11.98,398.46,B,11155.65,335.06
dpw supervisor,9,WA,OWN,7.97,67000,7,17500,11424,13100,15000,10.42,486.98,B,13554.39,493.63
teacher,10,NM,RENT,16.31,90000,12,79813,50734,17200,7000,10.41,227.23,B,6496.14,173.78
agent,10,MI,MORTGAGE,23.57,73000,15,169567,35850,2900,7000,11.99,232.47,B,6170.96,323.98
registered dietitian,10,TX,MORTGAGE,27.22,95000,23,332270,112694,41800,25000,9.93,805.86,B,0,8.97
transportation,5,NJ,MORTGAGE,3.17,110000,11,403000,11499,39000,12000,9.44,251.68,B,11201.13,446.94
manager,8,NY,MORTGAGE,27.7,62000,17,106801,79437,7100,12000,10.42,389.58,B,10843.53,387.96
software engineer,3,KS,RENT,26.06,61300,20,110721,102344,15000,7200,10.41,233.72,B,6681.75,178.75
assoc head coach,6,NY,RENT,9.6,57000,4,31581,14845,14900,8000,9.44,256.04,B,7019.15,265.79
bus operator,7,NY,RENT,24.97,65000,10,70671,40775,26300,18000,10.91,588.54,B,15836.57,757.45
legal collector,9,NY,MORTGAGE,43.93,64000,13,564450,93239,46500,35200,11.99,1168.98,B,31031.15,1652.6
labor,9,AR,MORTGAGE,25.66,60000,9,130151,41111,26700,20000,9.93,424.26,B,18952.04,638.05
"director, product management & engineeri",3,CA,MORTGAGE,1.44,220000,8,111921,52398,63300,40000,9.43,838.71,B,37877.64,1211.52
database administrator,5,DE,MORTGAGE,18.77,100000,17,482752,90235,19600,14000,9.92,451.22,B,12985.2,331.14
painter,10,SD,MORTGAGE,23.94,55000,8,306226,27315,21000,18500,11.98,411.34,B,17579.74,712.79
owner,4,CA,RENT,13.4,120000,8,89016,49643,26400,10000,9.43,320.01,B,9270.01,219.56
sales,10,OR,RENT,30.93,48000,20,116353,95299,30500,10000,10.91,326.97,B,8939.53,359.36
senior merchandising manager,5,OH,MORTGAGE,2.21,51000,3,116500,9508,12000,5000,10.9,163.46,B,4642.64,129.99
city driver,1,PA,RENT,16.45,65000,7,57816,28263,25400,5500,10.41,178.54,B,5104.1,136.54
manager,2,CA,RENT,10.52,85000,5,55552,27470,13500,8000,9.44,256.04,B,7019.16,295.16
admin,10,AL,MORTGAGE,20.97,52000,12,251476,24341,34000,12675,10.41,411.44,B,11762.68,307.34
carpenter,1,NY,RENT,0.75,130000,4,9100,800,1100,4000,10.42,129.86,B,563.13,80.25
program coordinator,0,MI,MORTGAGE,13,85000,13,131847,69595,47800,24000,9.93,773.63,B,0,703.33
purchasing aide,10,CA,MORTGAGE,9.56,55000,11,314147,15973,72100,11000,9.92,354.53,B,0,1.41
administrative assistant,1,GA,OWN,20.49,18624,4,18964,11001,0,10000,11.98,222.35,B,9628.77,282.51
planning asso,10,MN,MORTGAGE,49.32,53000,15,319536,154365,63600,16000,9.43,335.49,B,15578.84,241.44
business manager,10,MO,MORTGAGE,17.19,129000,10,389325,136811,38100,40000,9.44,838.91,B,37878.29,1191.97
personal assistant,2,NH,RENT,16.37,50000,9,39814,25131,11300,5825,10.91,190.46,B,5267.45,200.76
cardiovascular technologist,10,MA,RENT,15.76,125000,10,506983,143585,16000,7000,9.44,224.04,B,6141.74,258.27
service manager,5,FL,RENT,27.64,35000,12,61446,36391,24100,10800,11.98,240.14,B,10399.06,312.29
partner physician,10,CA,MORTGAGE,3.66,300000,6,1340300,48122,53500,31200,9.93,661.84,B,29565.21,969.54
teacher,4,TX,MORTGAGE,33.73,120000,27,412469,126970,71100,25000,9.92,530.2,B,24021.35,598.17
banker,0,OH,MORTGAGE,25.16,53000,19,212046,43698,33900,12800,10.9,277.67,B,12475.73,215.57
director,10,CA,MORTGAGE,0,135000,4,833600,0,20600,24000,9.92,508.99,B,22958.93,559.45
shade assembler,5,IN,MORTGAGE,42.64,45000,12,243108,47123,13900,24000,9.93,509.11,B,22421.54,1046.53
associate,0,CA,MORTGAGE,3.42,34000,4,10782,6735,4000,1500,10.42,48.7,B,1355.43,49.36
gm,10,PA,MORTGAGE,4.2,110000,11,371900,14658,62700,24000,9.92,508.99,B,23376.25,381
"information associat, sr",10,AZ,OWN,17.46,45500,10,196864,26403,13800,6000,11.99,199.26,B,5434.35,227.39
vocational rehabilitation counselor,2,CA,RENT,2.2,89000,3,12600,5173,11100,10000,9.43,320.01,B,9270.01,219.56
director of sales,5,SC,MORTGAGE,3.72,58000,6,266417,12488,3900,5000,10.91,163.49,B,4521.4,172.33
registered nurse,4,CA,MORTGAGE,11.24,89000,7,200165,24250,10500,6000,11.98,199.23,B,5719.95,114.42
installer,10,TX,RENT,26.69,90000,7,66313,41343,9250,8500,9.43,272.01,B,7879.51,191.09
driver,10,CA,RENT,16.72,120000,16,103833,55430,24800,21625,10.91,469.21,B,20519.63,738.7
senior speciailst,10,CO,RENT,34.06,60000,12,136600,60422,46700,9600,10.9,313.84,B,8913.89,249.6
hcc coder,1,OH,MORTGAGE,25.71,50000,17,96313,32621,12700,10000,9.44,320.05,B,8773.94,368.95
research assistant,3,CA,RENT,1.78,35000,2,17000,3458,13000,12000,9.43,384.01,B,11124.02,263.48
sales,8,MI,OWN,16.12,43000,10,140309,21978,14400,8000,11.98,265.64,B,7173.35,143.98
locomotive engineer,10,NY,OWN,28.28,161105,14,130606,116429,38100,15000,10.9,490.38,B,13927.93,380.9
scheduling,5,OH,MORTGAGE,18.19,26000,21,46579,27078,11600,5600,10.91,183.1,B,5064,187.91
registered nurse,10,MO,OWN,29.73,54000,26,94107,47045,20100,9000,10.41,292.15,B,8352.19,218.23
asmbler,10,IN,MORTGAGE,30.59,37000,11,88420,64140,29100,10000,11.99,222.4,B,9375.22,473.9
interpreter,1,PA,RENT,17.45,50000,19,83500,33877,52800,25000,9.43,800.01,B,23023.53,455.69
assistant manager,10,KY,OWN,24,50000,13,119524,39342,66600,25000,9.92,530.2,B,24021.35,536.17
director,5,NJ,RENT,3.96,200000,8,58500,21776,34200,30000,10.42,643.63,B,28050.79,1251.57
office work,8,NY,RENT,22.6,60000,10,67700,23522,50500,10000,10.42,324.65,B,9036.27,323.29
field biologist,1,LA,OWN,13.63,53000,6,37700,16835,27700,6250,9.92,201.44,B,5796.96,147.84
program manager,4,IN,MORTGAGE,15.31,111996,12,293091,46479,53900,30000,11.99,667.19,B,28508.06,1176.09
cook,8,CA,RENT,2.78,25000,9,41300,2461,29100,6500,9.43,208.01,B,6025.5,142.72
strategic account manager,2,MA,RENT,19.41,105000,15,106781,75510,37000,22000,11.98,730.51,B,19945.85,608.1
assistant service manager,4,FL,RENT,8.74,85000,9,36992,16124,11000,9600,11.99,318.82,B,8694.95,363.84
regional visual manager,0,AL,RENT,15.29,65000,7,38000,27149,29500,25000,10.41,811.51,B,23805.57,414.13
teller supervisor,5,WV,OWN,10.05,36598,18,69969,42168,19500,16800,10.9,549.22,B,15599.3,436.79
director of sales and marketing,10,IL,MORTGAGE,15.79,115000,11,678546,78258,52400,25000,9.44,524.32,B,24009.28,621.58
fire captain,10,CA,MORTGAGE,5.47,130000,6,235777,15108,7000,10000,9.43,320.01,B,9270.01,219.56
designer,3,SC,MORTGAGE,18.42,60000,13,240113,123983,29500,26400,9.44,844.93,B,23163.22,953.26
co owner,4,CT,RENT,9.79,75000,11,174212,119189,61300,20000,9.43,419.36,B,19207.22,454.82
network installer,3,CA,RENT,12.58,60000,9,74500,17268,59500,1800,10.42,58.44,B,1582.2,72.32
pbx operator,2,CO,RENT,17.07,35500,22,65675,60547,7800,7500,10.42,243.49,B,6592.55,305.66
heavy equipment operator,2,FL,OWN,10.87,65000,6,162371,31106,12000,15000,11.99,333.6,B,14254.01,578.42
banker,5,NJ,RENT,14.83,75000,6,38958,22488,14300,20000,10.9,653.83,B,19051.38,346.93
"sr security analyst, grc  ",0,CO,MORTGAGE,15.63,121800,11,491842,55723,53500,36000,9.92,763.48,B,34590.77,861.37
wfa 1,7,OR,MORTGAGE,25.53,45700,10,173800,18224,22800,17400,10.41,564.81,B,15722.87,572.05
director of property operations,3,CA,RENT,13.74,116480,8,594367,59440,45200,10000,10.42,324.65,B,8790.09,407.55
credit manager,7,TN,RENT,16.02,55000,6,48734,31527,19200,14700,10.9,480.57,B,13292.79,506.17
physical therapist,10,CA,MORTGAGE,20.4,106000,9,953050,37671,38100,20000,9.93,644.69,B,17564.07,776.49
sales & marketing,3,PA,MORTGAGE,22.13,50000,17,149426,40303,28800,24000,9.93,509.11,B,22742.46,752.42
driver,1,GA,OWN,27.04,45500,12,56302,47021,1000,7000,11.99,232.47,B,6170.95,356.62
sales director,4,AL,MORTGAGE,60.3,110000,13,254705,173655,66400,30000,10.41,973.81,B,27840.7,744.78
firefighter/emt,5,WA,RENT,17.24,84500,6,58023,31248,12300,20000,11.99,664.2,B,17631.3,938.98
district partner,0,FL,RENT,11.27,110000,11,106973,98891,4900,10000,11.99,332.1,B,8815.65,469.49
dispatch manager,1,AZ,MORTGAGE,23.59,49000,12,209434,20820,15000,3600,10.91,117.71,B,3255.42,134.99
business consultant,10,CA,OWN,18.38,95634,5,58850,31269,9500,30000,11.98,667.04,B,29261.25,555.4
operating engineer,3,NJ,RENT,6.31,89000,7,34038,15307,15600,5000,9.93,161.18,B,4514.8,156.76
technical writer,0,OH,MORTGAGE,26.27,85000,23,287054,150247,69500,30000,11.98,667.04,B,28886.34,867.49
manager,1,TX,RENT,9.06,60000,9,36100,14896,26300,9000,9.43,288.01,B,8120.56,267.88
project & property manager,5,VT,MORTGAGE,30.24,80000,17,390394,131956,33000,20000,11.98,444.69,B,19179.29,563.74
admin asst,3,TX,MORTGAGE,9.08,100000,9,252145,44423,28400,30000,9.43,629.04,B,28810.83,682.23
advisor,10,CT,OWN,16.88,106000,14,377097,46875,43000,40000,11.98,889.38,B,38515.13,1156.65
assistant supervisor,10,LA,MORTGAGE,8.15,39000,2,15000,10401,15000,20000,10.42,649.3,B,18072.54,646.58
professor,2,SC,RENT,6.85,59000,6,15625,9075,4500,8500,10.91,277.92,B,7355.83,355.53
supervisor,0,AR,RENT,17.31,50000,6,115076,96488,18300,10000,10.42,324.65,B,9036.27,323.29
supervisor,10,TX,MORTGAGE,10.38,125000,19,283667,36494,32900,20000,9.43,419.36,B,19207.22,454.82
packaging,10,OH,MORTGAGE,12.14,25600,6,80801,8554,6500,3000,9.43,96.01,B,2780.98,65.87
driver,10,MI,MORTGAGE,20.17,70000,15,219785,22396,47400,15000,9.44,314.59,B,14204.31,486.28
project manager,5,GA,MORTGAGE,24.17,76500,11,214501,58064,12500,8000,9.44,256.04,B,7218.41,248.87
labor,2,NJ,RENT,19.3,92000,17,68406,32326,11500,9000,11.98,298.85,B,8366.72,251.29
medical technician,2,RI,MORTGAGE,10.87,39400,5,36500,17862,34500,20000,9.43,640.01,B,18540.06,449.61
script supervisor,10,CA,RENT,11.52,60000,3,26400,21513,26400,16000,9.43,512.01,B,14832.04,359.69
nurse practitioner,10,MI,MORTGAGE,23.23,150000,26,756528,197380,44000,15000,9.44,314.59,B,14204.31,502
press operator,10,MI,OWN,17.18,54000,13,33200,16683,12100,7000,10.91,228.88,B,6329.98,241.26
sales,10,FL,MORTGAGE,7.52,220000,10,285908,57734,9700,24000,11.99,533.75,B,22806.46,925.47
rn,10,NJ,MORTGAGE,21.86,75000,7,510674,21864,16100,6175,10.9,201.87,B,5533.67,160.54
funeral director and supervisor,7,PA,RENT,3.1,780000,19,137675,82432,60500,12000,10.91,392.36,B,10557.71,512.24
paralegal,0,FL,RENT,11.47,43000,11,46904,28968,17500,4000,9.92,128.92,B,3710.06,92.41
manager,5,TN,OWN,8.86,70000,4,48837,22224,19000,40000,10.42,858.18,B,37401.02,1645.61
team leader,4,MS,MORTGAGE,14.97,65000,5,299261,26609,10600,12000,9.44,384.06,B,10827.62,357.57
project manager,7,KY,MORTGAGE,36.49,64000,14,434447,150679,26900,30000,9.93,967.03,B,27089,981.94
quality,10,IN,MORTGAGE,27.38,37000,7,168798,30399,97600,20000,10.9,433.86,B,19236.53,526
president,10,NY,MORTGAGE,17.84,67600,12,136906,30244,33200,20000,10.41,649.21,B,18560.45,496.51
financial aide accounts technician,9,NC,MORTGAGE,52.22,32500,7,304578,67494,10300,12000,11.99,398.52,B,10868.71,454.8
annalyst,10,AL,MORTGAGE,18.92,55000,6,155770,79141,15500,11700,11.99,260.21,B,11040.27,445.42
manager,4,TX,MORTGAGE,24.57,72000,9,198390,45870,7300,14400,11.99,478.22,B,13042.46,545.75
it manager,3,CA,OWN,13.58,50000,15,50737,19585,40500,24000,11.99,797.03,B,21157.61,1126.77
business analysis,1,NC,OWN,31.09,165000,16,667279,201020,57600,14000,9.92,296.91,B,13453.47,328.77
finance associate,10,VA,MORTGAGE,12.92,65000,8,263690,15550,20000,20000,9.92,644.6,B,19037.5,315.68
fiduciary trust officer,10,UT,RENT,15.88,107000,17,345588,141401,24300,6000,10.91,196.18,B,5425.71,206.79
after school and day camp director,1,NY,RENT,29.46,35000,7,48987,33644,7000,5250,11.98,174.33,B,4880.58,156.75
direct staff,0,CA,RENT,7.68,15000,4,15900,3690,10300,2000,10.91,65.4,B,264.6,24.99
machine operator,10,MD,MORTGAGE,7.47,71000,11,486929,37078,9100,10000,9.44,209.73,B,9334.29,377.7
professor,5,CT,MORTGAGE,29.36,107000,14,225546,333531,28300,34200,10.9,741.89,B,32894.49,899.45
senior salesforce developer/architect,2,CT,RENT,4.75,185000,8,298154,24491,49800,35000,9.92,742.27,B,33629.93,818.16
family support worker,5,NE,MORTGAGE,30.09,40000,11,114438,19895,13200,10000,10.91,326.97,B,9042.83,344.65
patient coordinator,5,TN,MORTGAGE,38.16,45000,18,120552,59224,60800,18000,10.41,386.09,B,17304.18,441.63
art teacher,2,SC,RENT,16.23,40000,5,25300,19719,25300,15000,10.42,486.98,B,13052.07,482.62
supervisor,10,NY,RENT,6.73,155000,27,112817,32791,22700,9000,9.43,288.01,B,8343.01,202.32
retail associate manager,6,CA,MORTGAGE,18.03,40000,11,50275,22508,28300,15000,10.91,490.45,B,13197.14,640.3
sr enterprise messaging administrator,10,TX,MORTGAGE,9.51,125000,7,340834,62364,6650,4000,9.43,128.01,B,3708.21,94.04
distribution,8,GA,MORTGAGE,20.66,65000,6,241361,33852,21000,20000,9.93,424.26,B,18952.04,638.05
regulatory analyst,10,TX,OWN,23.02,54840,10,67963,39265,16500,11500,11.99,255.76,B,10781.51,552.65
registered nurse,10,SD,MORTGAGE,12.82,54000,9,31800,6812,10100,3800,9.43,121.61,B,3522.59,83.44
delivery driver,0,MN,RENT,12.8,60000,6,28818,15676,11000,9600,11.99,318.82,B,8463,450.71
sales rep,10,MI,MORTGAGE,14.07,90000,7,156327,26292,0,1600,9.43,51.21,B,1483.18,35.13
mechanic,10,MN,MORTGAGE,12.96,113213.25,6,271895,39912,22000,40000,9.93,848.51,B,37369.86,1590.34
terminal analyst,2,NE,OWN,4.23,57000,13,37076,22018,18400,10000,10.41,324.61,B,9522.22,159.87
vp of operations,1,UT,MORTGAGE,13.23,120000,5,483410,53066,9500,8000,10.41,259.69,B,7424.16,193.98
store director,5,AZ,MORTGAGE,17.18,48000,8,266642,136546,8600,20000,10.9,433.86,B,19236.53,513.89
family assistance analyst ii,4,NM,RENT,38.33,38043,21,129793,104031,21200,10000,9.44,209.73,B,9334.29,377.7
service manager,10,NM,MORTGAGE,19.89,65000,16,120141,49579,39600,20000,9.92,424.16,B,19217.08,478.54
physician,0,ID,MORTGAGE,8.28,225000,20,471818,783821,23500,35000,10.9,1144.2,B,32498.57,909.98
rn,2,FL,MORTGAGE,23.33,57000,9,307982,57594,21500,11000,9.93,354.58,B,9660.23,417.96
hs teacher/ college professor,10,FL,MORTGAGE,12.79,50000,9,159302,41861,21300,5000,9.44,160.03,B,4386.95,184.48
association manager,2,VA,RENT,13.78,31500,13,53379,50937,10700,4200,10.91,137.33,B,3695.17,184.37
dental hygienist,2,CO,MORTGAGE,14.09,35000,7,281467,29939,500,7650,9.44,244.84,B,6902.6,223.94
operator,10,MI,MORTGAGE,14.2,55000,4,186349,25778,6600,15000,10.9,325.39,B,14427.41,394.5
application developer 3,10,OH,MORTGAGE,26.77,98000,13,236061,59952,50600,34000,11.98,755.97,B,32308.74,1309.99
registered nurse,6,NC,MORTGAGE,17.24,88000,25,404236,199983,32000,10000,10.42,324.65,B,9036.27,329.08
engineer,8,NC,RENT,4.93,120000,3,101562,64389,24000,7000,10.42,227.26,B,6325.37,230.36
realtor,2,FL,RENT,25.77,28000,16,119917,24143,91900,5000,9.43,160.01,B,4635.28,112.69
instructor,1,FL,RENT,16.5,50000,38,142141,141312,18600,6000,9.44,192.03,B,5413.81,175.64
recruiter,4,MA,MORTGAGE,28.94,80000,11,432092,53310,50400,18000,9.93,381.83,B,17295.56,485.74
business analyst/salesforce admin,10,MA,RENT,9.48,70000,7,71100,25047,41100,36000,9.43,754.84,B,34573.02,771.53
owner/manager,10,FL,RENT,11.56,68000,8,28006,18247,13600,20000,10.9,433.86,B,19236.53,513.89
courier,2,NY,RENT,14.04,30000,7,21800,13550,21800,13000,9.93,419.05,B,11092.05,564.19
health unit coordinator,10,OH,MORTGAGE,23.47,38000,9,56012,44449,3000,10000,11.99,332.1,B,8815.65,469.49
ceo,10,CT,MORTGAGE,6.29,500000,12,1095467,74039,1400,40000,9.93,848.51,B,37369.27,1589.75
meteorologist,10,FL,MORTGAGE,23.18,155000,14,467832,106690,20500,16000,10.9,523.07,B,14856.46,420.6
marketing,10,NC,MORTGAGE,21.78,109000,16,330904,72796,39300,9000,9.44,288.05,B,8120.69,263.45
cleaning business,10,MI,MORTGAGE,25.01,20000,8,85253,9753,11000,3600,11.99,119.56,B,3173.61,166.61
director of sales,3,CO,RENT,36.66,140000,24,247849,154494,109200,24000,10.42,779.16,B,22272.8,631.13
assistant professor,9,VA,RENT,18.95,118000,13,125910,63746,50500,40000,10.42,858.18,B,37401.02,1668.76
audio eng,10,FL,RENT,25.07,65000,13,211031,29468,9700,14000,9.44,448.07,B,12632.22,417.16
sr instructional designer,2,KS,MORTGAGE,19.57,110000,16,470933,298774,31000,22400,11.98,498.05,B,21568.48,632.81
youth supervisor,7,VA,MORTGAGE,20.43,85000,12,286595,75361,2400,18000,11.98,597.69,B,16733.47,514.56
teacher and district librarian,10,CA,MORTGAGE,18.48,131004.7,7,803225,188965,9800,5000,11.98,166.03,B,4648.17,142.93
truck driver,1,AZ,RENT,2.92,135000,6,23000,14668,15000,10000,9.43,320.01,B,9270.01,224.8
school administrator,10,TX,MORTGAGE,11.76,133000,7,236327,76088,26900,16000,9.92,515.68,B,0,35.27
"sr mgr, na maintenance & facility eng",3,WA,RENT,27.77,101000,10,107306,54328,36500,5000,9.93,161.18,B,4390.98,194.12
research programmer / analyst,2,NC,RENT,27.71,100000,17,130869,51510,49300,35000,10.42,1136.27,B,29736.97,1377.8
manager,10,NJ,OWN,17.98,79500,16,265711,53623,33700,25000,11.98,830.12,B,22642.85,930.05
tech,2,GA,MORTGAGE,32.82,52000,12,267054,65572,9300,30000,10.9,980.75,B,27855.89,761.81
obedience trainer,3,OR,MORTGAGE,32.33,32000,7,43302,26443,22700,15000,10.41,486.91,B,13920.33,372.38
consulting database specialist,10,OH,RENT,26.88,65000,17,95285,37650,39400,14000,11.98,464.87,B,12908.48,389.84
forklift drive,10,GA,MORTGAGE,15.66,60000,12,143200,20416,33900,18000,9.92,381.74,B,17295.39,420.77
