Film,Year,Rating,Number_Ratings,Length_Minutes,
Det sjunde inseglet,1957,8.3,77050,96,
Smultronstället,1957,8.3,43270,91,
Witness for the Prosecution,1957,8.4,37958,116,
Kumonosu-jô,1957,8.2,20698,110,
Le notti di Cabiria,1957,8.2,20010,110,
An Affair to Remember,1957,7.5,17091,119,
Sweet Smell of Success,1957,8.1,15217,96,
Funny Face,1957,7,12920,103,
3:10 to Yuma,1957,7.6,11739,92,
The Incredible Shrinking Man,1957,7.7,8782,81,
Gunfight at the O.K. Corral,1957,7.2,7901,122,
A Face in the Crowd,1957,8.1,7690,126,
Love in the Afternoon,1957,7.3,7582,130,
Letyat zhuravli,1957,8.1,7517,97,
Old Yeller,1957,7.3,6427,83,
Night of the Demon,1957,7.6,6332,95,
The Enemy Below,1957,7.6,5409,98,
Heaven Knows Mr. Allison,1957,7.4,4761,108,
Jailhouse Rock,1957,6.4,4639,96,
The Spirit of St. Louis,1957,7.2,4399,135,
Desk Set,1957,7.3,4363,103,
Vertigo,1958,8.5,168540,128,
Touch of Evil,1958,8.2,53704,95,
Cat on a Hot Tin Roof,1958,8.1,26599,108,
The Hidden Fortress,1958,8,18524,126,
The Blob,1958,6.3,12597,86,
Dracula,1958,7.5,11253,82,
Gigi,1958,6.9,11015,115,
The Fly,1958,7,10982,94,
Mon oncle,1958,7.8,10263,120,
Elevator to the Gallows,1958,8,9853,88,
The Big Country,1958,7.9,8960,165,
A Night to Remember,1958,7.9,8923,123,
The Vikings,1958,7.1,7448,116,
The Defiant Ones,1958,7.7,7328,96,
Auntie Mame,1958,7.9,6745,143,
Run Silent Run Deep,1958,7.3,6423,93,
The 7th Voyage of Sinbad,1958,7.1,6317,88,
Bell Book and Candle,1958,6.8,5641,106,
The Long Hot Summer,1958,7.4,5331,115,
Popiól i diament,1958,7.9,5209,95,
South Pacific,1958,6.9,4920,171,
I soliti ignoti,1958,8.1,4582,106,
Houseboat,1958,6.6,4573,110,
Ansiktet,1958,7.7,4360,100,
North by Northwest,1959,8.5,160147,136,
Some Like It Hot,1959,8.4,124235,120,
Ben-Hur,1959,8.1,110435,212,
Sleeping Beauty,1959,7.3,60680,75,
Les quatre cents coups,1959,8.2,47775,99,
Rio Bravo,1959,8,33708,141,
Anatomy of a Murder,1959,8.1,33694,160,
Plan 9 from Outer Space,1959,3.9,25746,79,
Hiroshima Mon Amour,1959,7.9,13656,90,
House on Haunted Hill,1959,6.9,11527,75,
Pickpocket,1959,7.9,9235,75,
Pillow Talk,1959,7.4,8815,102,
Journey to the Center of the Earth,1959,7,8364,132,
Imitation of Life,1959,7.8,8215,125,
Suddenly Last Summer,1959,7.7,7934,114,
The Diary of Anne Frank,1959,7.4,7720,180,
On the Beach,1959,7.3,7468,134,
Operation Petticoat,1959,7.3,7255,124,
Orfeu Negro,1959,7.5,5654,100,
Ballada o soldate,1959,8,5626,88,
The Mouse That Roared,1959,7,5599,83,
The Nun's Story,1959,7.6,5345,149,
Shadows,1959,7.4,5249,87,
Apur Sansar,1959,7.9,5049,105,
The Horse Soldiers,1959,7.1,5020,115,
Psycho,1960,8.6,283125,109,
Spartacus,1960,8,79678,184,
The Apartment,1960,8.4,73670,125,
The Magnificent Seven,1960,7.8,49738,128,
À bout de souffle,1960,7.9,38256,90,
La dolce vita,1960,8.1,33718,174,
The Time Machine,1960,7.6,19550,103,
Peeping Tom,1960,7.7,16723,101,
Inherit the Wind,1960,8.2,16346,128,
Jungfrukällan,1960,8.1,14209,89,
L'avventura,1960,7.9,12826,143,
Ocean's Eleven,1960,6.5,12504,127,
Les yeux sans visage,1960,7.8,11482,88,
The Little Shop of Horrors,1960,6.3,10433,72,
Tirez sur le pianiste,1960,7.6,9699,80,
Rocco e i suoi fratelli,1960,8.2,8629,168,
The Alamo,1960,6.8,8510,167,
Village of the Damned,1960,7.3,8230,77,
Swiss Family Robinson,1960,7.1,7492,126,
La maschera del demonio,1960,7.4,6782,87,
Plein soleil,1960,7.8,6473,118,
Le trou,1960,8.4,6447,121,
Elmer Gantry,1960,7.8,6265,146,
House of Usher,1960,7,6126,79,
Exodus,1960,6.8,5485,208,
Breakfast at Tiffany's,1961,7.8,86870,115,
101 Dalmatians,1961,7.2,66134,79,
West Side Story,1961,7.6,53893,152,
Yôjinbô,1961,8.4,51288,110,
The Hustler,1961,8.1,45105,134,
The Guns of Navarone,1961,7.6,28396,158,
Judgment at Nuremberg,1961,8.3,27094,186,
The Innocents,1961,7.8,13860,100,
Viridiana,1961,8.2,12005,90,
One Two Three,1961,8,11574,115,
The Parent Trap,1961,7,10789,129,
Splendor in the Grass,1961,7.7,10695,124,
Såsom i en spegel,1961,8,10676,89,
The Misfits,1961,7.4,10346,124,
L'année dernière à Marienbad,1961,7.9,10109,94,
La notte,1961,7.9,7760,115,
El Cid,1961,7.2,7569,182,
Une femme est une femme,1961,7.6,7375,85,
The Children's Hour,1961,7.8,7362,107,
Pit and the Pendulum,1961,7.1,6839,80,
Divorzio all'italiana,1961,8.1,5987,104,
The Beast of Yucca Flats,1961,2.3,5802,54,
One-Eyed Jacks,1961,7.1,5586,141,
The Comancheros,1961,6.8,4362,107,
The Absent-Minded Professor,1961,6.7,4335,92,
To Kill a Mockingbird,1962,8.4,148169,129,
Lawrence of Arabia,1962,8.4,135058,228,
Dr. No,1962,7.3,87240,110,
The Manchurian Candidate,1962,8.1,54602,126,
Lolita,1962,7.7,49785,152,
The Man Who Shot Liberty Valance,1962,8.1,41381,123,
The Longest Day,1962,7.8,34013,178,
What Ever Happened to Baby Jane?,1962,8.1,22840,134,
Jules et Jim,1962,7.8,20779,105,
Cape Fear,1962,7.8,16587,105,
El ángel exterminador,1962,8.1,14797,95,
Tsubaki Sanjûrô,1962,8.2,14400,96,
Seppuku,1962,8.6,12837,133,
Ivanovo detstvo,1962,8,12353,95,
Nóz w wodzie,1962,7.6,11707,94,
Vivre sa vie: Film en douze tableaux,1962,8,11597,80,
How the West Was Won,1962,7,11302,164,
The Music Man,1962,7.7,11052,151,
Carnival of Souls,1962,7.1,10635,78,
Le procès,1962,7.8,9764,118,
The Miracle Worker,1962,8,9716,106,
Birdman of Alcatraz,1962,7.8,9666,147,
Mutiny on the Bounty,1962,7.2,8947,185,
L'eclisse,1962,7.8,8093,126,
The Great Escape,1963,8.3,114783,172,
The Birds,1963,7.8,96919,119,
From Russia with Love,1963,7.5,63567,115,
8½,1963,8.1,56187,138,
The Sword in the Stone,1963,7.2,43046,79,
Charade,1963,8,37643,113,
The Pink Panther,1963,7.2,29509,115,
It's a Mad Mad Mad Mad World,1963,7.5,23071,154,
The Haunting,1963,7.6,20521,112,
Cleopatra,1963,6.9,16437,192,
Le mépris,1963,7.7,14755,103,
Tengoku to jigoku,1963,8.3,13449,143,
Jason and the Argonauts,1963,7.3,13184,104,
Hud,1963,7.9,12506,112,
Lord of the Flies,1963,7,10537,92,
Nattvardsgästerna,1963,8,9893,81,
Irma la Douce,1963,7.4,9836,147,
The Nutty Professor,1963,6.7,9222,107,
Tystnaden,1963,8,9002,96,
Tom Jones,1963,6.8,6416,121,
The Raven,1963,6.7,5931,86,
Shock Corridor,1963,7.6,5921,101,
Lilies of the Field,1963,7.6,5287,94,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5,254668,95,
Goldfinger,1964,7.8,105564,110,
Per un pugno di dollari,1964,8,86767,99,
Mary Poppins,1964,7.7,70897,139,
My Fair Lady,1964,7.9,50658,170,
Marnie,1964,7.2,26052,130,
A Hard Day's Night,1964,7.7,24001,87,
Zulu,1964,7.8,23181,138,
A Shot in the Dark,1964,7.6,15729,102,
Fail-Safe,1964,8,12256,112,
Bande à part,1964,7.9,12188,95,
Alexis Zorbas,1964,7.7,11958,142,
The Umbrellas of Cherbourg,1964,7.8,11481,91,
The Last Man on Earth,1964,6.9,9870,86,
Becket,1964,8,9015,148,
Suna no onna,1964,8.3,8197,123,
Onibaba,1964,8,7952,103,
Kaidan,1964,8,7699,162,
The Train,1964,7.9,7450,133,
Seven Days in May,1964,7.9,7423,118,
Santa Claus Conquers the Martians,1964,2.4,7366,81,
The Night of the Iguana,1964,7.8,6981,125,
Hush...Hush Sweet Charlotte,1964,7.6,6709,133,
The Masque of the Red Death,1964,7.1,6498,89,
Il deserto rosso,1964,7.7,6303,117,
The Sound of Music,1965,7.9,104941,174,
Per qualche dollaro in più,1965,8.3,98643,132,
Thunderball,1965,7,61131,130,
Doctor Zhivago,1965,8,45317,197,
Repulsion,1965,7.8,25712,105,
Pierrot le fou,1965,7.7,13003,110,
The Flight of the Phoenix,1965,7.6,12907,142,
Alphaville une étrange aventure de Lemmy Caution,1965,7.2,12517,99,
Help!,1965,7.2,10459,92,
The Great Race,1965,7.2,9608,160,
The Cincinnati Kid,1965,7.3,9149,102,
Akahige,1965,8.2,8791,185,
Faster Pussycat! Kill! Kill!,1965,6.7,8549,83,
Cat Ballou,1965,6.9,8511,97,
Battle of the Bulge,1965,6.8,8381,167,
Von Ryan's Express,1965,7.1,7794,117,
The Sons of Katie Elder,1965,7.1,7556,122,
The Ipcress File,1965,7.3,7447,109,
The Hill,1965,7.8,7423,123,
The Spy Who Came in from the Cold,1965,7.7,7320,112,
Giulietta degli spiriti,1965,7.6,6678,137,
What's New Pussycat,1965,6.2,6530,108,
Monster a-Go Go,1965,2.2,5815,70,
The Collector,1965,7.6,5521,119,
Obchod na korze,1965,8,5146,125,
Il buono il brutto il cattivo.,1966,9,336850,161,
Who's Afraid of Virginia Woolf?,1966,8.1,39526,131,
Persona,1966,8.2,38425,85,
Blowup,1966,7.6,31395,111,
Manos: The Hands of Fate,1966,1.8,28281,74,
Fahrenheit 451,1966,7.2,25701,112,
La battaglia di Algeri,1966,8.2,24726,121,
A Man for All Seasons,1966,8,18609,120,
Batman,1966,6.4,18099,105,
Andrey Rublev,1966,8.2,17766,165,
Torn Curtain,1966,6.7,14688,128,
Django,1966,7.3,14022,87,
El Dorado,1966,7.6,12991,126,
How to Steal a Million,1966,7.5,11303,123,
Fantastic Voyage,1966,6.8,9965,100,
Alfie,1966,7.1,8386,114,
Au hasard Balthazar,1966,7.9,8217,95,
The Sand Pebbles,1966,7.7,8181,182,
Seconds,1966,7.7,7942,107,
La Grande Vadrouille,1966,8,7872,132,
The Professionals,1966,7.4,7855,117,
The Fortune Cookie,1966,7.4,7329,125,
What's Up Tiger Lily?,1966,6.1,6494,80,
Ostre sledované vlaky,1966,7.8,6461,93,
The Graduate,1967,8.1,154852,106,
Cool Hand Luke,1967,8.2,87154,126,
The Jungle Book,1967,7.6,79821,78,
Bonnie and Clyde,1967,7.9,64924,111,
You Only Live Twice,1967,6.9,55304,117,
The Dirty Dozen,1967,7.8,41020,150,
In the Heat of the Night,1967,8,38120,109,
The Producers,1967,7.7,31922,88,
Belle de jour,1967,7.8,21735,101,
Le samouraï,1967,8.1,21674,105,
Guess Who's Coming to Dinner,1967,7.8,21400,108,
The Lion in Winter,1967,8.1,19223,134,
Casino Royale,1967,5.2,18514,131,
Dance of the Vampires,1967,7.2,18507,108,
Wait Until Dark,1967,7.8,16019,108,
In Cold Blood,1967,8,15320,134,
Point Blank,1967,7.4,10433,92,
Playtime,1967,7.9,9203,155,
To Sir with Love,1967,7.6,9093,105,
Barefoot in the Park,1967,7,8579,106,
Week End,1967,7.3,7437,105,
Two for the Road,1967,7.5,6702,111,
Hombre,1967,7.4,6241,111,
Jôi-uchi: Hairyô tsuma shimatsu,1967,8.3,5613,128,
Five Million Years to Earth,1967,7.2,5502,97,
2001: A Space Odyssey,1968,8.3,284533,141,
C'era una volta il West,1968,8.7,150723,175,
Rosemary's Baby,1968,8,107758,136,
Planet of the Apes,1968,7.9,106853,112,
Night of the Living Dead,1968,8,68211,96,
Bullitt,1968,7.4,36313,114,
Where Eagles Dare,1968,7.7,31781,158,
The Party,1968,7.6,23927,99,
Chitty Chitty Bang Bang,1968,6.8,20260,144,
The Odd Couple,1968,7.7,19949,105,
Romeo and Juliet,1968,7.6,19596,138,
Barbarella,1968,5.9,18624,98,
Oliver!,1968,7.5,18194,153,
Hang 'Em High,1968,6.9,17763,114,
Yellow Submarine,1968,7.3,15301,90,
If....,1968,7.7,13196,111,
The Thomas Crown Affair,1968,7,12950,102,
Funny Girl,1968,7.4,9631,151,
Coogan's Bluff,1968,6.5,8868,93,
The Green Berets,1968,5.5,7867,142,
The Love Bug,1968,6.3,7828,108,
Il grande silenzio,1968,7.8,7515,101,
Baisers volés,1968,7.7,6563,90,
Skammen,1968,8,5971,103,
Butch Cassidy and the Sundance Kid,1969,8.2,106598,110,
Midnight Cowboy,1969,8,60162,113,
Easy Rider,1969,7.3,59771,95,
The Wild Bunch,1969,8,52695,145,
On Her Majesty's Secret Service,1969,6.8,42578,142,
True Grit,1969,7.4,25810,128,
The Italian Job,1969,7.3,23840,99,
Take the Money and Run,1969,7.3,17900,85,
Z,1969,8.1,13744,127,
Hercules in New York,1969,3,12372,75,
Battle of Britain,1969,6.9,12331,132,
L'armée des ombres,1969,8.1,11160,140,
Topaz,1969,6.2,10140,127,
They Shoot Horses Don't They?,1969,7.9,10026,129,
Fellini - Satyricon,1969,6.8,9485,128,
Kes,1969,7.7,9406,110,
Hello Dolly!,1969,7.1,7894,146,
Paint Your Wagon,1969,6.6,7545,158,
Support Your Local Sheriff!,1969,7.5,6086,92,
Brilliantovaya ruka,1969,8.2,5530,100,
Cactus Flower,1969,7.1,5175,103,
The Prime of Miss Jean Brodie,1969,7.7,5059,116,
The Bridge at Remagen,1969,6.7,4887,115,
Mackenna's Gold,1969,6.7,4615,128,
Ma nuit chez Maud,1969,7.9,4573,110,
Patton,1970,8,61992,172,
MASH,1970,7.7,44742,116,
Kelly's Heroes,1970,7.6,26420,144,
Beneath the Planet of the Apes,1970,6,23109,95,
Little Big Man,1970,7.6,21937,139,
Tora! Tora! Tora!,1970,7.5,20107,144,
Five Easy Pieces,1970,7.5,19788,98,
Love Story,1970,6.8,18351,99,
Catch-22,1970,7.1,14355,122,
Two Mules for Sister Sara,1970,7,12379,116,
El topo,1970,7.5,12377,125,
Il conformista,1970,8,12235,106,
Le cercle rouge,1970,8.1,10716,140,
Airport,1970,6.5,10528,137,
Woodstock,1970,8,10202,184,
My Name Is Trinity,1970,7.3,9710,106,
L'uccello dalle piume di cristallo,1970,7.2,9166,98,
Zabriskie Point,1970,7,8153,110,
Beyond the Valley of the Dolls,1970,6.1,6377,109,
Gimme Shelter,1970,7.9,6044,91,
The Private Life of Sherlock Holmes,1970,7.2,5748,125,
Rio Lobo,1970,6.7,5225,114,
A Man Called Horse,1970,6.9,5222,114,
Tristana,1970,7.6,5145,95,
A Clockwork Orange,1971,8.4,370647,136,
Dirty Harry,1971,7.8,91722,102,
Willy Wonka & the Chocolate Factory,1971,7.8,89957,100,
The French Connection,1971,7.8,60401,104,
Diamonds Are Forever,1971,6.7,55354,120,
Harold and Maude,1971,8,43931,91,
Straw Dogs,1971,7.5,36759,118,
THX 1138,1971,6.8,31387,86,
The Last Picture Show,1971,8.1,25427,118,
Fiddler on the Roof,1971,7.9,23607,181,
Bananas,1971,7.1,21634,82,
The Andromeda Strain,1971,7.2,19771,131,
Bedknobs and Broomsticks,1971,6.9,18728,117,
The Omega Man,1971,6.5,18085,98,
And Now for Something Completely Different,1971,7.6,18008,88,
Vanishing Point,1971,7.3,17419,99,
Giù la testa,1971,7.7,17292,120,
Get Carter,1971,7.5,17027,112,
Escape from the Planet of the Apes,1971,6.2,15454,98,
Play Misty for Me,1971,7,14776,102,
Walkabout,1971,7.7,13233,100,
Tang shan da xiong,1971,7,13119,100,
McCabe & Mrs. Miller,1971,7.7,12498,120,
Klute,1971,7.2,11790,114,
Morte a Venezia,1971,7.5,10796,130,
The Godfather,1972,9.2,781359,175,
Deliverance,1972,7.8,62234,110,
Solyaris,1972,8,37060,167,
Sleuth,1972,8.1,31673,138,
Aguirre der Zorn Gottes,1972,8,29531,93,
Cabaret,1972,7.8,29399,124,
Ultimo tango a Parigi,1972,7.1,27571,136,
The Poseidon Adventure,1972,7,27068,117,
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,6.8,24445,88,
Frenzy,1972,7.5,23817,116,
The Last House on the Left,1972,5.9,20714,64,
Le charme discret de la bourgeoisie,1972,7.9,20401,102,
Conquest of the Planet of the Apes,1972,5.9,16606,88,
The Getaway,1972,7.5,16504,122,
Meng long guo jiang,1972,7.2,16493,100,
Jeremiah Johnson,1972,7.6,16116,108,
Silent Running,1972,6.7,15354,89,
Play It Again Sam,1972,7.7,15317,85,
Cries & Whispers,1972,8.1,14906,91,
Jing wu men,1972,7.3,13352,108,
Pink Flamingos,1972,6,12983,93,
What's Up Doc?,1972,7.7,11421,94,
Joe Kidd,1972,6.4,8928,88,
Slaughterhouse-Five,1972,7,7829,104,
The Cowboys,1972,7.3,7815,131,
The Exorcist,1973,8,224113,122,
The Sting,1973,8.4,122120,129,
Papillon,1973,8,65203,151,
Enter the Dragon,1973,7.7,61665,102,
Live and Let Die,1973,6.8,54941,121,
Serpico,1973,7.8,54853,130,
Robin Hood,1973,7.6,52347,83,
Mean Streets,1973,7.4,52311,112,
American Graffiti,1973,7.5,51750,112,
The Wicker Man,1973,7.6,35199,88,
Soylent Green,1973,7,34407,97,
Badlands,1973,7.9,34407,94,
Magnum Force,1973,7.1,32767,124,
Sleeper,1973,7.3,26304,89,
High Plains Drifter,1973,7.6,26053,105,
Don't Look Now,1973,7.4,25240,110,
The Day of the Jackal,1973,7.8,23781,143,
Amarcord,1973,7.9,22710,123,
Westworld,1973,7,18682,88,
Paper Moon,1973,8.1,17798,102,
Battle for the Planet of the Apes,1973,5.4,17194,93,
Jesus Christ Superstar,1973,7.2,15959,108,
The Holy Mountain,1973,7.7,13965,114,
Il mio nome è Nessuno,1973,7.4,13354,117,
The Long Goodbye,1973,7.6,13040,112,
The Godfather: Part II,1974,9.1,511145,200,
Chinatown,1974,8.3,153424,130,
Young Frankenstein,1974,8,90069,106,
Blazing Saddles,1974,7.7,72351,93,
The Texas Chain Saw Massacre,1974,7.5,70110,83,
The Conversation,1974,8,57847,113,
The Man with the Golden Gun,1974,6.7,54183,125,
Murder on the Orient Express,1974,7.3,27767,128,
The Towering Inferno,1974,6.8,24050,165,
Death Wish,1974,7,19610,93,
Black Christmas,1974,7.2,16876,98,
The Taking of Pelham One Two Three,1974,7.7,16381,104,
The Great Gatsby,1974,6.3,15106,144,
Dark Star,1974,6.5,13117,83,
Thunderbolt and Lightfoot,1974,7,11945,115,
Alice Doesn't Live Here Anymore,1974,7.4,11935,112,
Zardoz,1974,5.7,11558,105,
The Longest Yard,1974,7.1,10411,121,
Bring Me the Head of Alfredo Garcia,1974,7.5,10341,112,
A Woman Under the Influence,1974,8.1,9656,155,
Jeder für sich und Gott gegen alle,1974,7.9,9577,110,
Lenny,1974,7.6,9036,111,
Angst essen Seele auf,1974,8.1,8808,93,
The Parallax View,1974,7.2,8566,102,
Phantom of the Paradise,1974,7.2,8492,92,
One Flew Over the Cuckoo's Nest,1975,8.8,467040,133,
Jaws,1975,8.1,278355,124,
Monty Python and the Holy Grail,1975,8.4,273990,91,
Dog Day Afternoon,1975,8.1,131405,125,
The Rocky Horror Picture Show,1975,7.3,77216,98,
Barry Lyndon,1975,8.1,71840,184,
The Man Who Would Be King,1975,7.9,29915,129,
Salò o le 120 giornate di Sodoma,1975,6,27291,116,
Three Days of the Condor,1975,7.5,26101,117,
Love and Death,1975,7.7,20654,85,
Picnic at Hanging Rock,1975,7.5,19447,115,
Death Race 2000,1975,6.2,16018,84,
Profondo rosso,1975,7.7,15942,126,
The Return of the Pink Panther,1975,7,15752,113,
Sholay,1975,8.4,15251,188,
Dersu Uzala,1975,8.2,14178,144,
Zerkalo,1975,8,14154,108,
Nashville,1975,7.7,13551,159,
Rollerball,1975,6.6,13233,125,
Tommy,1975,6.5,12490,111,
Professione: reporter,1975,7.6,11605,126,
The Stepford Wives,1975,6.8,9955,115,
A Boy and His Dog,1975,6.6,9813,91,
French Connection II,1975,6.8,9658,119,
The Eiger Sanction,1975,6.3,9532,123,
Taxi Driver,1976,8.4,334231,113,
Rocky,1976,8.1,230912,119,
Carrie,1976,7.4,90254,98,
Network,1976,8.2,72358,121,
The Omen,1976,7.6,59275,111,
All the President's Men,1976,8,55906,138,
The Outlaw Josey Wales,1976,7.9,38960,135,
Marathon Man,1976,7.5,34493,125,
Logan's Run,1976,6.8,30773,119,
The Enforcer,1976,6.7,24021,96,
Assault on Precinct 13,1976,7.4,23436,91,
Le locataire,1976,7.8,20280,126,
Murder by Death,1976,7.4,18993,94,
The Pink Panther Strikes Again,1976,7.2,17366,103,
King Kong,1976,5.7,16838,134,
Novecento,1976,7.7,14301,245,
The Shootist,1976,7.7,14027,100,
The Bad News Bears,1976,7.2,12935,102,
The Man Who Fell to Earth,1976,6.7,12267,139,
Family Plot,1976,6.8,11952,120,
Hababam sinifi sinifta kaldi,1976,8.7,11525,91,
The Eagle Has Landed,1976,6.9,11018,135,
Midway,1976,6.7,10586,132,
Silver Streak,1976,6.8,10516,114,
Ai no korîda,1976,6.6,10048,109,
Star Wars,1977,8.7,606399,121,
Annie Hall,1977,8.2,132298,93,
Close Encounters of the Third Kind,1977,7.7,106428,137,
The Spy Who Loved Me,1977,7,56804,125,
Eraserhead,1977,7.4,48325,85,
Saturday Night Fever,1977,6.7,40820,118,
Suspiria,1977,7.4,33946,98,
A Bridge Too Far,1977,7.4,31715,158,
The Rescuers,1977,6.9,27836,78,
Smokey and the Bandit,1977,6.7,25607,96,
Slap Shot,1977,7.3,23358,123,
The Message,1977,8.4,17736,177,
The Hills Have Eyes,1977,6.3,17240,89,
The Many Adventures of Winnie the Pooh,1977,7.6,17172,74,
Cross of Iron,1977,7.5,16603,119,
Capricorn One,1977,6.8,12968,123,
Exorcist II: The Heretic,1977,3.7,12962,118,
Pete's Dragon,1977,6.2,12051,128,
The Kentucky Fried Movie,1977,6.5,11899,83,
The Gauntlet,1977,6.3,11874,109,
The Duellists,1977,7.4,11450,100,
High Anxiety,1977,6.6,11224,94,
Cet obscur objet du désir,1977,7.9,11183,102,
New York New York,1977,6.6,10394,155,
Pumping Iron,1977,7.4,9333,85,
The Deer Hunter,1978,8.2,167397,182,
Halloween,1978,7.9,118632,91,
Grease,1978,7.1,117545,110,
Superman,1978,7.3,97096,143,
Animal House,1978,7.6,72597,109,
Dawn of the Dead,1978,8,71420,127,
Midnight Express,1978,7.6,42397,121,
Jaws 2,1978,5.6,38365,116,
Days of Heaven,1978,8,27258,94,
Invasion of the Body Snatchers,1978,7.3,27025,115,
Up in Smoke,1978,6.9,22144,86,
The Lord of the Rings,1978,6,19927,132,
Watership Down,1978,7.6,18773,101,
Jui kuen,1978,7.6,18268,111,
Damien: Omen II,1978,6.2,16699,107,
The Boys from Brazil,1978,7,16484,125,
Day of the Woman,1978,5.6,15289,101,
Death on the Nile,1978,7.1,14796,140,
Every Which Way But Loose,1978,6.1,13093,110,
Revenge of the Pink Panther,1978,6.6,12159,99,
Heaven Can Wait,1978,6.9,11256,101,
Force 10 from Navarone,1978,6.3,11014,118,
Piranha,1978,5.8,10999,94,
Coma,1978,6.8,10848,113,
Interiors,1978,7.5,10652,93,
Alien,1979,8.5,375312,117,
Apocalypse Now,1979,8.5,320343,153,
Life of Brian,1979,8.1,190400,94,
Mad Max,1979,7,91698,88,
Rocky II,1979,7,86923,119,
Manhattan,1979,8,80035,96,
Kramer vs. Kramer,1979,7.7,70680,105,
Escape from Alcatraz,1979,7.6,62803,112,
The Warriors,1979,7.7,52886,92,
Moonraker,1979,6.2,51440,126,
Star Trek: The Motion Picture,1979,6.3,48222,132,
Stalker,1979,8.1,45406,163,
Being There,1979,8,41272,130,
The Jerk,1979,7.1,33661,94,
Caligola,1979,5.1,22396,137,
The Amityville Horror,1979,6.1,21625,117,
Hair,1979,7.4,21204,121,
1941,1979,5.8,20343,118,
The Muppet Movie,1979,7.6,20163,95,
Phantasm,1979,6.8,17808,88,
Nosferatu the Vampyre,1979,7.5,17112,107,
...And Justice for All.,1979,7.3,16813,119,
The China Syndrome,1979,7.3,16689,122,
Zombi 2,1979,6.8,15951,91,
All That Jazz,1979,7.7,14884,123,
Star Wars: Episode V - The Empire Strikes Back,1980,8.8,539506,124,
The Shining,1980,8.5,398294,142,
Raging Bull,1980,8.3,165143,129,
Airplane!,1980,7.8,116962,88,
The Elephant Man,1980,8.3,115140,124,
The Blues Brothers,1980,7.9,107397,133,
Caddyshack,1980,7.3,62102,98,
Friday the 13th,1980,6.4,58595,95,
Superman II,1980,6.7,55453,127,
The Blue Lagoon,1980,5.5,37944,104,
The Gods Must Be Crazy,1980,7.2,34632,109,
The Fog,1980,6.8,34562,89,
Flash Gordon,1980,6.3,28235,111,
Cannibal Holocaust,1980,5.9,28232,95,
Ordinary People,1980,7.8,27065,124,
Kagemusha,1980,7.9,18675,180,
Altered States,1980,6.9,18394,102,
Popeye,1980,5,18232,114,
Dressed to Kill,1980,7.1,17659,105,
Somewhere in Time,1980,7.2,16038,103,
Nine to Five,1980,6.5,15295,110,
Private Benjamin,1980,6,14205,109,
Stir Crazy,1980,6.7,14162,111,
Fame,1980,6.5,13184,134,
Raiders of the Lost Ark,1981,8.6,455382,115,
Das Boot,1981,8.4,122154,149,
The Evil Dead,1981,7.6,103681,85,
Mad Max 2,1981,7.6,83034,95,
Escape from New York,1981,7.2,66300,99,
For Your Eyes Only,1981,6.8,53948,127,
An American Werewolf in London,1981,7.6,47177,97,
The Fox and the Hound,1981,7.2,41220,83,
Excalibur,1981,7.4,38747,140,
Halloween II,1981,6.4,37458,92,
Time Bandits,1981,6.9,36169,116,
Stripes,1981,6.9,33896,106,
Chariots of Fire,1981,7.2,29430,124,
Friday the 13th Part 2,1981,5.9,28019,87,
History of the World: Part I,1981,6.8,27477,92,
Clash of the Titans,1981,6.8,27357,118,
Scanners,1981,6.8,25218,103,
Gallipoli,1981,7.5,23791,110,
The Cannonball Run,1981,6,20823,91,
Blow Out,1981,7.3,19636,107,
Body Heat,1981,7.4,18702,113,
Heavy Metal,1981,6.6,18070,86,
Arthur,1981,6.8,18031,97,
On Golden Pond,1981,7.6,17439,109,
The Howling,1981,6.5,17384,91,
Blade Runner,1982,8.2,338053,117,
E.T. the Extra-Terrestrial,1982,7.8,212015,115,
The Thing,1982,8.2,181426,109,
First Blood,1982,7.6,129627,93,
Gandhi,1982,8.1,115767,191,
Conan the Barbarian,1982,6.8,90680,129,
TRON,1982,6.8,75637,96,
Rocky III,1982,6.5,75418,99,
Poltergeist,1982,7.4,72795,114,
Star Trek: The Wrath of Khan,1982,7.7,72648,113,
Tootsie,1982,7.4,61770,116,
Fast Times at Ridgemont High,1982,7.2,55186,90,
Pink Floyd The Wall,1982,7.9,47119,95,
48 Hrs.,1982,6.9,40051,96,
The King of Comedy,1982,7.7,36544,109,
The Dark Crystal,1982,7.2,31594,93,
An Officer and a Gentleman,1982,6.9,30458,124,
Fanny och Alexander,1982,8.2,28630,188,
Airplane II: The Sequel,1982,5.9,26295,85,
Porky's,1982,6.1,26275,94,
Friday the 13th Part III,1982,5.5,23004,95,
Creepshow,1982,6.7,22371,120,
Halloween III: Season of the Witch,1982,4.2,21754,98,
Sophie's Choice,1982,7.7,21442,150,
Grease 2,1982,3.9,20692,115,
Star Wars: Episode VI - Return of the Jedi,1983,8.4,426262,134,
Scarface,1983,8.3,360182,170,
A Christmas Story,1983,8.1,81569,94,
Trading Places,1983,7.4,76060,116,
The Meaning of Life,1983,7.5,59161,107,
WarGames,1983,7,55893,114,
Octopussy,1983,6.5,55356,131,
Vacation,1983,7.4,48176,98,
Risky Business,1983,6.7,45814,99,
