Age,Gender,NumberOfChildren,CountryOfResidence,LanguageAtHome,HoursSpentLearningToCode,Income,StudentDebtOwe,IsSoftwareDev,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,YearsSpentLearningToCode,LearningViaBooks,LearningViaCoursera
35,male,NA,United States of America,English,30,NA,4000,False,NA,200,18,1.5,NA,NA
25,female,NA,United States of America,English,20,42000,NA,False,NA,100,11,0.9166666667,NA,NA
37,female,NA,United States of America,English,0,6000,29000,False,NA,0,1,0.08333333333,NA,NA
28,male,NA,United States of America,English,4,36000,NA,False,NA,0,36,3,NA,NA
11,male,NA,United States of America,Bengali,5,NA,NA,False,NA,0,8,0.6666666667,NA,NA
24,female,NA,Russia,Russian,21,NA,NA,False,NA,0,3,0.25,NA,NA
23,male,NA,United States of America,English,8,NA,29053,False,married or domestic partnership,0,NA,#VALUE!,NA,NA
39,male,NA,Serbia,Russian,24,NA,NA,False,NA,0,39,3.25,NA,NA
19,male,NA,Spain,Spanish,6,NA,NA,False,NA,0,9,0.75,NA,1
35,male,NA,United States of America,English,5,28000,12000,False,NA,20,3,0.25,NA,NA
15,male,NA,"Netherlands (Holland, Europe)",Dutch,20,NA,NA,False,NA,0,10,0.8333333333,NA,1
13,female,NA,United States of America,English,24,NA,NA,False,NA,0,1,0.08333333333,NA,NA
28,female,NA,United States of America,English,8,41000,35000,False,NA,100,12,1,NA,NA
37,male,NA,Chile,Russian,8,26000,NA,True,married or domestic partnership,30,157,13.08333333,NA,NA
24,male,NA,United States of America,English,10,32000,20000,False,married or domestic partnership,100,12,1,NA,NA
18,male,NA,India,Hindi,8,NA,10000,False,NA,0,8,0.6666666667,NA,NA
27,male,NA,India,Hindi,5,12000,NA,True,"single, never married",0,48,4,NA,NA
24,male,NA,United States of America,English,10,13000,NA,False,NA,0,0,0,NA,NA
19,male,NA,Spain,English,10,NA,NA,False,NA,0,18,1.5,NA,NA
27,female,NA,Uruguay,Spanish,8,NA,NA,True,NA,0,3,0.25,NA,1
25,male,NA,Brazil,Portuguese,5,12000,NA,False,NA,50,3,0.25,NA,1
19,male,NA,Poland,Polish,25,NA,NA,False,NA,20,NA,#VALUE!,NA,NA
21,male,NA,Portugal,Portuguese,6,NA,NA,False,NA,0,6,0.5,NA,NA
26,male,NA,United Kingdom,English,30,45000,25000,False,NA,0,3,0.25,NA,NA
27,male,NA,Sweden,Swedish,30,NA,NA,False,NA,0,12,1,NA,NA
31,male,NA,United States of America,English,7,35000,16000,False,NA,100,12,1,1,NA
23,male,NA,United States of America,English,22,18000,15000,False,NA,20,6,0.5,NA,NA
23,male,NA,India,Telugu,NA,NA,NA,False,NA,0,15,1.25,NA,NA
43,male,NA,Spain,Spanish,4,18000,NA,False,NA,NA,400,33.33333333,NA,NA
26,female,NA,United States of America,English,6,70000,24000,True,NA,300,8,0.6666666667,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,#VALUE!,NA,NA
25,male,NA,United States of America,English,10,25000,NA,True,NA,600,84,7,NA,1
26,female,NA,United States of America,English,16,36000,65000,False,married or domestic partnership,0,3,0.25,NA,NA
25,male,NA,Australia,English,8,60000,NA,False,NA,400,12,1,NA,NA
19,male,NA,Hungary,Hungarian,30,NA,NA,False,NA,500,48,4,NA,1
28,male,NA,Portugal,Portuguese,1,14000,NA,False,NA,0,6,0.5,NA,1
NA,NA,NA,India,Malayalam,10,NA,NA,False,"single, never married",3,2,0.1666666667,NA,NA
20,male,NA,Philippines,Tagalog,5,NA,NA,False,NA,0,2,0.1666666667,NA,NA
30,female,NA,United States of America,English,12,58000,NA,False,NA,15,2,0.1666666667,NA,NA
25,female,NA,United States of America,English,10,90000,NA,False,NA,50,4,0.3333333333,NA,1
36,male,NA,Thailand,English,20,40000,NA,True,married or domestic partnership,100,6,0.5,NA,NA
25,female,NA,Portugal,Portuguese,4,NA,NA,False,NA,0,33,2.75,NA,NA
34,male,NA,United States of America,English,20,20000,NA,False,NA,80,5,0.4166666667,NA,NA
33,female,NA,United States of America,English,1,70000,NA,False,NA,0,1,0.08333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,True,NA,0,NA,#VALUE!,NA,NA
25,female,NA,United Kingdom,French,4,33550,NA,False,NA,20,72,6,NA,NA
26,male,NA,United States of America,English,20,NA,80000,False,NA,200,12,1,NA,NA
27,female,NA,Argentina,Spanish,6,13000,NA,False,NA,50,5,0.4166666667,NA,1
30,male,NA,United States of America,English,10,60000,NA,True,NA,300,36,3,NA,1
18,male,NA,India,Hindi,40,NA,NA,False,NA,0,6,0.5,NA,1
26,male,NA,United States of America,Spanish,NA,11000,14000,False,NA,0,1,0.08333333333,NA,NA
28,male,NA,Germany,Malay Bhasa Indonesia,2,7000,NA,False,NA,50,3,0.25,NA,1
27,male,NA,Brazil,Portuguese,8,20000,NA,False,married or domestic partnership,30,6,0.5,NA,1
34,male,NA,United Kingdom,English,NA,16000,NA,False,NA,200,24,2,NA,1
36,male,NA,Mexico,Spanish,NA,NA,NA,False,NA,NA,NA,#VALUE!,NA,NA
22,male,NA,Brazil,Portuguese,10,25000,NA,True,NA,0,24,2,NA,1
21,male,NA,India,Hindi,10,NA,NA,False,NA,0,6,0.5,NA,NA
40,male,NA,United States of America,Spanish,10,34000,NA,False,NA,0,1,0.08333333333,NA,NA
34,male,NA,Colombia,Spanish,5,7335,NA,True,NA,500,103,8.583333333,NA,NA
29,male,NA,Canada,English,40,10000,20000,False,NA,500,8,0.6666666667,NA,NA
59,female,NA,United States of America,English,25,NA,15000,False,NA,200,1,0.08333333333,NA,1
30,male,NA,Brazil,Portuguese,5,12000,NA,False,NA,0,1,0.08333333333,NA,NA
27,male,NA,United States of America,English,4,46000,75000,False,NA,0,24,2,NA,NA
28,male,NA,United States of America,English,2,53000,35000,False,NA,100,12,1,NA,NA
27,male,NA,Turkey,Turkish,10,17000,NA,True,NA,0,36,3,NA,NA
24,male,NA,United Kingdom,English,4,40000,38000,True,NA,0,7,0.5833333333,NA,NA
30,male,NA,United States of America,English,1,80000,NA,False,NA,50,6,0.5,NA,1
30,female,NA,Philippines,Tagalog,10,NA,NA,False,NA,50,4,0.3333333333,NA,1
24,female,NA,United States of America,Malay Bhasa Indonesia,1,NA,NA,True,NA,0,1,0.08333333333,NA,NA
21,male,NA,India,Hindi,25,NA,NA,False,NA,0,2,0.1666666667,NA,NA
33,male,NA,United States of America,English,5,80000,NA,False,NA,2000,12,1,NA,NA
17,male,NA,United States of America,English,1,NA,NA,False,NA,100,48,4,NA,NA
53,female,NA,Canada,English,10,50000,NA,False,NA,1000,3,0.25,NA,NA
25,male,NA,United Kingdom,English,5,NA,20000,False,NA,0,12,1,NA,1
20,male,NA,India,Malayalam,30,NA,NA,False,NA,50,24,2,NA,NA
25,male,NA,India,Hindi,8,NA,8000,True,NA,0,2,0.1666666667,NA,NA
33,male,NA,South Africa,English,7,30400,NA,False,married or domestic partnership,10000,3,0.25,NA,NA
38,female,NA,Italy,Italian,12,NA,NA,False,NA,89,8,0.6666666667,NA,1
27,male,NA,India,English,40,NA,NA,False,NA,35,36,3,NA,1
40,male,NA,United States of America,English,10,NA,NA,True,NA,500,36,3,NA,NA
31,female,NA,United States of America,English,20,NA,6500,False,NA,175,7,0.5833333333,NA,NA
29,male,NA,Turkey,Turkish,10,NA,NA,False,NA,0,40,3.333333333,NA,1
30,male,NA,Ukraine,Ukrainian,5,18000,NA,True,"single, never married",0,0,0,NA,1
32,male,NA,Philippines,Tagalog,25,6250,NA,False,NA,0,4,0.3333333333,NA,NA
36,male,NA,United States of America,English,10,NA,NA,True,NA,500,18,1.5,NA,1
27,male,NA,Romania,Romanian,10,6000,NA,False,NA,10,20,1.666666667,NA,NA
25,male,NA,Uruguay,Spanish,10,10000,NA,True,"single, never married",0,NA,#VALUE!,NA,NA
38,male,NA,United States of America,English,7,85000,NA,False,married or domestic partnership,0,120,10,NA,NA
20,male,NA,India,Tamil,30,NA,NA,False,NA,200,60,5,NA,NA
28,male,NA,United States of America,English,15,16000,65000,False,NA,325,3,0.25,NA,NA
30,male,NA,Portugal,Portuguese,20,NA,NA,False,NA,100,5,0.4166666667,NA,1
28,male,NA,Ghana,English,10,NA,NA,True,NA,250,24,2,NA,1
24,female,NA,Russia,Russian,NA,NA,NA,False,NA,NA,11,0.9166666667,NA,1
23,male,NA,United States of America,English,12,25000,33000,False,NA,0,4,0.3333333333,NA,NA
30,male,NA,Brazil,Portuguese,5,35000,NA,True,married or domestic partnership,50,168,14,NA,1
27,male,NA,Brazil,Portuguese,40,NA,NA,False,NA,200,12,1,NA,NA
51,female,NA,Korea South,English,2,30000,NA,False,NA,0,4,0.3333333333,NA,1
27,male,NA,United States of America,Spanish,10,15000,NA,False,NA,500,6,0.5,NA,NA
35,male,NA,United States of America,English,10,40000,NA,False,divorced,0,3,0.25,NA,NA
27,male,NA,Japan,English,1,NA,NA,False,NA,0,6,0.5,NA,NA
29,female,NA,United States of America,English,2,47000,NA,False,NA,100,6,0.5,NA,NA
23,male,NA,Morocco,Arabic,24,NA,NA,False,NA,0,24,2,NA,1
18,male,NA,Romania,Spanish,20,NA,NA,False,NA,0,6,0.5,NA,1
20,male,NA,Israel,German,10,NA,NA,True,NA,2200,14,1.166666667,NA,NA
44,male,NA,United States of America,English,5,120000,NA,False,married or domestic partnership,0,1,0.08333333333,NA,NA
29,male,NA,Spain,Spanish,10,40000,NA,True,NA,0,65,5.416666667,NA,NA
16,male,NA,Japan,English,5,60000,10000,False,NA,0,4,0.3333333333,NA,NA
29,female,NA,United States of America,English,30,NA,NA,False,NA,50,8,0.6666666667,NA,NA
21,male,NA,Finland,Arabic,40,38000,NA,True,NA,0,8,0.6666666667,NA,NA
32,male,NA,Argentina,Spanish,25,10000,NA,False,married or domestic partnership,30,5,0.4166666667,NA,NA
24,male,NA,Poland,Polish,10,10000,NA,True,NA,0,84,7,NA,NA
43,male,NA,Spain,Spanish,7,30000,NA,False,NA,0,4,0.3333333333,NA,1
26,male,NA,United States of America,English,10,50000,NA,False,married or domestic partnership,200,12,1,NA,NA
26,male,NA,Italy,Portuguese,20,15000,NA,True,married or domestic partnership,2000,12,1,NA,1
28,female,NA,United States of America,English,10,28000,25000,False,married or domestic partnership,0,3,0.25,NA,NA
27,male,NA,United States of America,English,6,67000,NA,False,NA,50,1,0.08333333333,NA,NA
22,male,NA,United States of America,English,25,NA,7000,True,NA,200,12,1,NA,1
32,male,NA,Canada,English,2,58000,NA,True,married or domestic partnership,400,100,8.333333333,NA,NA
34,male,NA,United Kingdom,Hindi,15,60000,NA,True,married or domestic partnership,1000,5,0.4166666667,NA,NA
NA,NA,NA,NA,NA,50,NA,NA,True,NA,17000,8,0.6666666667,NA,1
28,male,NA,Korea South,English,10,32000,NA,False,married or domestic partnership,0,24,2,NA,NA
34,male,NA,Brazil,Portuguese,15,15000,NA,True,married or domestic partnership,500,400,33.33333333,NA,1
25,male,NA,United States of America,Telugu,4,10000,25000,False,"single, never married",1000,6,0.5,NA,NA
26,male,NA,United States of America,English,20,NA,18000,False,NA,0,6,0.5,NA,NA
25,male,NA,United States of America,English,10,10000,NA,False,married or domestic partnership,100,3,0.25,NA,NA
23,male,NA,Denmark,Khmer,15,22000,NA,True,NA,150,4,0.3333333333,NA,NA
NA,female,NA,United States of America,English,20,NA,NA,False,NA,40,3,0.25,NA,1
38,female,NA,United States of America,English,3,12000,NA,False,NA,0,1,0.08333333333,NA,NA
34,male,NA,United States of America,English,70,NA,3000,False,NA,100,2,0.1666666667,NA,NA
18,female,NA,Canada,NA,5,NA,NA,False,NA,0,18,1.5,NA,NA
29,female,NA,United States of America,Telugu,8,NA,NA,True,NA,600,60,5,NA,NA
29,male,NA,Canada,English,20,NA,NA,True,NA,60,36,3,NA,NA
25,male,NA,United States of America,English,15,32000,35000,False,NA,200,6,0.5,NA,1
30,female,NA,United States of America,Bengali,2,30000,NA,False,NA,50,0,0,NA,1
42,male,NA,United States of America,English,15,54000,14000,False,NA,250,6,0.5,NA,NA
60,female,NA,United States of America,English,20,60000,NA,False,NA,900,9,0.75,NA,NA
29,male,NA,United States of America,English,50,NA,49000,False,NA,1500,3,0.25,NA,NA
23,male,NA,Hungary,Hungarian,8,NA,NA,False,NA,0,3,0.25,NA,NA
27,male,NA,United States of America,English,10,55000,30000,False,NA,0,1,0.08333333333,NA,1
24,female,NA,United States of America,English,10,18000,65000,False,NA,65,2,0.1666666667,NA,NA
42,female,NA,United States of America,English,8,60000,NA,False,NA,150,6,0.5,NA,NA
26,female,NA,Finland,English,3,NA,6000,False,NA,100,6,0.5,NA,1
52,female,NA,Norway,English,4,NA,NA,False,NA,200,2,0.1666666667,NA,1
27,male,NA,Canada,English,20,120000,NA,True,NA,0,120,10,NA,NA
30,male,NA,Brazil,Portuguese,5,150000,NA,False,married or domestic partnership,50,6,0.5,NA,NA
28,male,NA,Argentina,Spanish,7,8000,NA,True,NA,NA,NA,#VALUE!,NA,1
34,female,NA,Canada,English,1,25000,NA,False,NA,0,4,0.3333333333,NA,NA
22,male,NA,India,Hindi,5,NA,NA,False,NA,10,6,0.5,NA,1
26,male,NA,Tunisia,Arabic,21,NA,NA,True,"single, never married",0,20,1.666666667,NA,NA
26,male,NA,United States of America,English,10,40000,NA,True,NA,100,12,1,NA,NA
28,female,NA,United States of America,English,5,75000,NA,False,NA,150,27,2.25,NA,1
39,male,NA,Argentina,Spanish,20,NA,NA,False,NA,0,6,0.5,NA,NA
23,female,NA,United States of America,English,10,50000,NA,False,NA,100,7,0.5833333333,NA,NA
19,male,NA,United States of America,English,5,NA,6000,False,NA,0,3,0.25,NA,NA
16,male,NA,United States of America,English,10,NA,NA,False,NA,45,2,0.1666666667,NA,NA
27,male,NA,United States of America,English,10,47000,11000,False,NA,500,8,0.6666666667,NA,1
27,male,NA,United States of America,English,8,42000,120000,False,NA,400,7,0.5833333333,NA,NA
32,male,NA,France,French,5,28500,NA,True,NA,0,24,2,NA,NA
27,male,NA,Argentina,Spanish,30,10000,NA,False,NA,700,12,1,NA,NA
19,male,NA,India,Malayalam,50,200000,NA,True,NA,0,60,5,NA,1
40,genderqueer,NA,United States of America,English,5,65000,NA,True,NA,2000,60,5,NA,1
49,female,NA,United States of America,English,10,42000,NA,False,NA,0,6,0.5,NA,NA
27,male,NA,India,Gujarati,10,6000,NA,True,married or domestic partnership,500,45,3.75,NA,NA
34,female,NA,Poland,Polish,15,NA,NA,False,NA,20,10,0.8333333333,NA,NA
25,male,NA,India,Hindi,40,13000,NA,False,married or domestic partnership,1000,24,2,NA,NA
20,male,NA,India,Hindi,2,NA,NA,False,"single, never married",0,24,2,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,#VALUE!,NA,NA
24,male,NA,Germany,German,4,NA,NA,False,NA,0,2,0.1666666667,NA,NA
37,female,NA,United States of America,English,10,35000,35000,True,married or domestic partnership,0,24,2,NA,NA
25,male,NA,Canada,English,8,42000,10000,False,NA,30,18,1.5,NA,1
38,female,NA,United States of America,English,30,NA,NA,False,NA,0,1,0.08333333333,NA,NA
30,male,NA,United States of America,Hindi,5,130000,NA,True,NA,300,60,5,NA,1
48,male,NA,Belgium,Dutch,15,50000,NA,False,married or domestic partnership,500,6,0.5,NA,NA
26,female,NA,United States of America,English,4,60000,53000,False,NA,40,36,3,NA,NA
NA,female,NA,India,Marathi,6,NA,NA,False,NA,NA,18,1.5,NA,1
27,male,NA,United States of America,Punjabi,10,18000,NA,False,married or domestic partnership,0,180,15,NA,NA
28,female,NA,Morocco,Arabic,7,NA,NA,False,NA,1000,2,0.1666666667,NA,NA
22,male,NA,Canada,English,5,26000,8500,True,NA,9500,5,0.4166666667,NA,NA
37,male,NA,Canada,English,5,100000,NA,False,married or domestic partnership,500,12,1,NA,1
32,male,NA,Canada,Malayalam,30,NA,NA,False,"single, never married",100,50,4.166666667,NA,NA
33,female,NA,United States of America,English,1,NA,NA,False,NA,0,156,13,NA,1
32,male,NA,Canada,French,5,NA,NA,False,NA,0,24,2,NA,NA
25,male,NA,United States of America,Mandarin Chinese,10,33000,NA,True,NA,15000,12,1,NA,1
32,female,NA,United Kingdom,Polish,3,14416,NA,False,NA,100,12,1,NA,1
25,male,NA,Pakistan,Sindhi,6,NA,NA,False,NA,0,2,0.1666666667,NA,NA
20,male,NA,India,Hindi,20,NA,NA,False,NA,0,16,1.333333333,NA,NA
25,male,NA,Portugal,Portuguese,16,NA,25000,False,NA,400,20,1.666666667,NA,1
23,female,NA,Ukraine,Ukrainian,5,NA,NA,True,NA,0,8,0.6666666667,NA,NA
18,male,NA,Belarus,Russian,15,NA,NA,False,NA,10,3,0.25,NA,NA
NA,NA,NA,United States of America,English,30,NA,NA,False,NA,100,1,0.08333333333,NA,NA
47,male,NA,Ireland,English,70,NA,NA,False,NA,100,5,0.4166666667,NA,1
25,female,NA,United States of America,English,30,26000,NA,False,NA,90,8,0.6666666667,NA,NA
18,male,NA,India,Hindi,10,NA,NA,False,"single, never married",0,6,0.5,NA,1
39,female,NA,United States of America,English,10,20000,50000,False,"single, never married",10000,3,0.25,NA,1
28,female,NA,United Kingdom,English,2,10000,NA,False,NA,400,20,1.666666667,NA,NA
19,male,NA,Pakistan,Urdu,40,NA,NA,False,NA,0,2,0.1666666667,NA,1
31,male,NA,Canada,English,5,15000,NA,True,NA,18000,36,3,NA,1
25,female,NA,United States of America,Polish,2,32000,15000,False,NA,80,5,0.4166666667,NA,NA
31,male,NA,South Africa,English,10,30000,NA,False,married or domestic partnership,0,10,0.8333333333,NA,1
26,female,NA,Italy,Italian,NA,NA,NA,False,NA,0,NA,#VALUE!,NA,NA
32,female,NA,United States of America,English,5,50000,45000,False,NA,150,18,1.5,NA,NA
32,female,NA,Germany,Arabic,30,NA,NA,False,NA,20,18,1.5,NA,1
27,male,NA,India,Hindi,7,NA,NA,True,NA,0,40,3.333333333,NA,1
23,male,NA,Ukraine,Ukrainian,15,NA,NA,True,NA,300,8,0.6666666667,NA,NA
33,male,NA,United States of America,English,6,18000,NA,False,NA,35,24,2,NA,NA
19,male,NA,India,Hindi,40,NA,NA,False,NA,0,48,4,NA,1
26,female,NA,United States of America,English,20,NA,NA,False,NA,7000,3,0.25,NA,NA
29,male,NA,Brazil,Portuguese,12,NA,NA,True,"single, never married",200,38,3.166666667,NA,1
17,male,NA,United States of America,English,10,NA,NA,False,NA,0,24,2,NA,NA
17,male,NA,India,Hindi,10,NA,NA,False,NA,0,12,1,NA,NA
22,male,NA,Brazil,Portuguese,40,NA,NA,False,NA,0,6,0.5,NA,1
16,male,NA,India,Tamil,NA,NA,NA,False,NA,NA,NA,#VALUE!,NA,NA
22,male,NA,Turkey,Turkish,22,NA,NA,False,"single, never married",NA,1,0.08333333333,NA,NA
57,male,NA,Italy,Italian,1,30000,NA,False,NA,0,10,0.8333333333,NA,NA
25,male,NA,United States of America,English,5,NA,NA,True,NA,0,15,1.25,NA,NA
35,male,NA,South Africa,English,3,20000,NA,True,NA,500,120,10,NA,NA
20,male,NA,Nepal,Nepali,50,NA,10000,False,NA,0,15,1.25,NA,NA
26,male,NA,United States of America,English,5,19000,30000,False,NA,100,9,0.75,NA,NA
27,male,NA,United States of America,English,12,70000,NA,True,NA,300,63,5.25,NA,NA
27,male,NA,United States of America,English,10,52000,25000,True,NA,0,30,2.5,NA,NA
39,male,NA,United States of America,English,3,45000,40000,True,NA,0,2,0.1666666667,NA,NA
23,female,NA,Hong Kong,Yue (Cantonese) Chinese,10,NA,NA,False,NA,0,7,0.5833333333,NA,1
22,male,NA,United States of America,Spanish,5,NA,NA,False,NA,100,20,1.666666667,NA,1
30,male,NA,Philippines,Cebuano (Visayan),10,15000,NA,True,married or domestic partnership,0,3,0.25,NA,NA
NA,male,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,#VALUE!,NA,NA
25,female,NA,United States of America,English,15,34000,NA,False,NA,100,1,0.08333333333,NA,NA
24,male,NA,United States of America,English,8,55000,25000,True,NA,100,48,4,NA,1
24,male,NA,South Africa,English,4,32000,NA,True,"single, never married",100,26,2.166666667,NA,NA
18,male,NA,India,NA,40,NA,NA,False,NA,0,1,0.08333333333,NA,NA
24,male,NA,United States of America,French,10,9000,NA,True,NA,400,24,2,NA,NA
20,male,NA,India,Gujarati,30,NA,NA,False,NA,0,9,0.75,NA,1
29,male,NA,NA,Tagalog,2,58000,NA,False,NA,200,3,0.25,NA,NA
33,female,NA,United States of America,English,8,63000,6000,True,NA,NA,60,5,NA,NA
25,female,NA,United States of America,English,20,44000,NA,True,NA,12000,16,1.333333333,NA,NA
24,male,NA,United States of America,English,12,71000,3000,False,NA,100,12,1,NA,NA
35,male,NA,Saudi Arabia,Arabic,5,30000,NA,False,"single, never married",200,NA,#VALUE!,NA,NA
27,male,NA,United States of America,English,15,45000,10000,True,married or domestic partnership,300,20,1.666666667,1,NA
21,male,NA,India,Hindi,90,NA,NA,False,NA,200,18,1.5,NA,NA
16,male,NA,NA,Russian,4,NA,NA,False,NA,0,3,0.25,NA,NA
29,male,NA,Canada,English,4,45000,6000,False,NA,0,0,0,NA,1
24,male,NA,United States of America,English,3,40000,28000,False,NA,100,5,0.4166666667,NA,NA
25,female,NA,United States of America,English,5,55000,19000,True,NA,0,84,7,NA,1
64,male,NA,United States of America,English,15,NA,NA,False,NA,0,24,2,NA,1
30,male,NA,Germany,Russian,20,NA,NA,False,NA,200,3,0.25,NA,NA
27,male,NA,United States of America,English,8,42000,NA,False,NA,300,4,0.3333333333,NA,NA
34,male,NA,Canada,English,4,75000,NA,False,NA,100,5,0.4166666667,NA,NA
28,male,NA,United States of America,English,5,50000,NA,True,NA,1000,36,3,NA,NA
41,female,NA,United States of America,English,10,34000,40000,False,NA,399,3,0.25,NA,1
27,male,NA,United States of America,English,8,NA,NA,True,NA,1000,108,9,NA,1
26,male,NA,Brazil,Portuguese,1,10000,NA,True,married or domestic partnership,1000,NA,#VALUE!,NA,NA
35,male,NA,United States of America,English,6,NA,12000,False,NA,0,12,1,NA,NA
30,male,NA,Australia,English,4,NA,NA,True,NA,1000,80,6.666666667,NA,NA
20,female,NA,Malaysia,Malay Bhasa Indonesia,1,NA,NA,False,NA,0,2,0.1666666667,NA,NA
11,male,NA,United States of America,English,6,NA,NA,False,NA,0,12,1,NA,NA
29,male,NA,"Netherlands (Holland, Europe)",Dutch,10,NA,NA,False,NA,150,8,0.6666666667,NA,NA
22,male,NA,Canada,English,7,30900,NA,True,NA,60,10,0.8333333333,NA,NA
21,male,NA,Madagascar,Malagasy,NA,NA,NA,False,NA,200,24,2,NA,NA
26,male,NA,United States of America,English,20,NA,25000,False,NA,15000,6,0.5,NA,NA
28,male,NA,United States of America,English,20,30000,24000,False,NA,1500,18,1.5,NA,1
18,male,NA,Ukraine,Ukrainian,20,NA,NA,False,NA,0,4,0.3333333333,NA,1
34,female,NA,United States of America,English,10,95000,5000,False,NA,0,1,0.08333333333,NA,NA
28,female,NA,Korea South,Korean,2,35000,10000,False,NA,0,2,0.1666666667,NA,NA
24,male,NA,United States of America,English,15,30000,10000,False,NA,0,4,0.3333333333,NA,NA
32,male,NA,Slovenia,Slovenian,22,12000,NA,False,NA,0,36,3,NA,1
22,male,NA,India,Kannada,5,NA,3000,False,NA,30,3,0.25,NA,NA
33,male,NA,South Africa,English,20,NA,NA,False,married or domestic partnership,0,5,0.4166666667,NA,1
28,male,NA,United States of America,English,20,110000,18000,True,NA,500,50,4.166666667,NA,NA
27,male,NA,Germany,German,35,NA,10000,False,NA,100,2,0.1666666667,NA,NA
27,male,NA,Brazil,Portuguese,6,40000,NA,True,married or domestic partnership,500,84,7,NA,NA
25,male,NA,France,French,40,NA,NA,False,NA,0,1,0.08333333333,NA,NA
27,male,NA,Hungary,Hungarian,8,NA,NA,False,NA,NA,4,0.3333333333,NA,NA
41,female,NA,United States of America,English,NA,NA,NA,False,NA,NA,NA,#VALUE!,NA,1
NA,male,NA,United States of America,Gujarati,5,NA,NA,False,NA,0,8,0.6666666667,NA,NA
49,male,NA,Greece,Greek,5,15000,NA,False,NA,0,240,20,NA,1
22,male,NA,Romania,Romanian,30,NA,NA,False,NA,0,4,0.3333333333,NA,NA
13,male,NA,Indonesia,English,2,NA,NA,True,married or domestic partnership,0,1,0.08333333333,NA,NA
20,male,NA,Portugal,Portuguese,17,NA,NA,False,NA,0,12,1,NA,NA
30,female,NA,United States of America,English,20,42000,6000,False,NA,30,9,0.75,NA,NA
25,male,NA,Canada,English,10,NA,NA,False,NA,200,12,1,NA,NA
19,male,NA,United States of America,English,4,NA,10000,False,NA,0,20,1.666666667,NA,1
29,female,NA,United States of America,English,10,34500,NA,False,NA,350,2,0.1666666667,NA,1
31,male,NA,United States of America,English,30,NA,10000,True,NA,3000,36,3,NA,NA
22,male,NA,Estonia,English,10,NA,NA,False,NA,2000,6,0.5,NA,NA
28,female,NA,United States of America,Gujarati,4,NA,NA,False,NA,100,2,0.1666666667,NA,NA
19,male,NA,India,NA,10,NA,10000,False,NA,0,20,1.666666667,NA,1
18,male,NA,Croatia,NA,30,NA,NA,False,NA,0,0,0,NA,NA
52,male,NA,United States of America,English,4,90000,NA,True,NA,2000,250,20.83333333,NA,NA
24,male,NA,United States of America,English,12,NA,NA,False,NA,12000,1,0.08333333333,NA,NA
44,female,NA,United States of America,NA,1,NA,NA,False,NA,0,2,0.1666666667,NA,NA
18,male,NA,United Kingdom,English,24,NA,NA,False,NA,0,60,5,NA,NA
21,male,NA,Canada,English,5,40000,NA,False,NA,0,30,2.5,NA,1
36,female,NA,United States of America,English,30,40000,NA,False,NA,5500,6,0.5,NA,NA
18,male,NA,India,Hindi,14,NA,NA,False,NA,100,2,0.1666666667,NA,NA
34,male,NA,United States of America,English,20,72000,30000,True,NA,700,36,3,NA,1
19,male,NA,India,Hindi,5,NA,NA,False,NA,0,1,0.08333333333,NA,1
23,male,NA,United States of America,English,12,32000,80000,False,married or domestic partnership,0,1,0.08333333333,NA,NA
30,male,NA,Costa Rica,Spanish,4,NA,NA,True,NA,NA,72,6,NA,1
23,male,NA,Korea South,English,12,NA,NA,False,NA,NA,3,0.25,NA,1
31,male,NA,United States of America,English,24,45000,70000,False,NA,200,1,0.08333333333,NA,NA
19,male,NA,Serbia,Serbo-Croatian,12,NA,NA,False,NA,0,6,0.5,NA,NA
33,male,NA,United States of America,English,10,40000,NA,False,NA,400,7,0.5833333333,1,NA
17,female,NA,Poland,Polish,2,NA,NA,False,NA,0,12,1,NA,1
43,male,NA,United States of America,English,4,NA,NA,False,NA,30,48,4,NA,NA
58,female,NA,United States of America,English,45,NA,NA,False,NA,600,1,0.08333333333,NA,1
31,male,NA,United States of America,English,20,62000,NA,False,NA,1000,15,1.25,NA,NA
33,male,NA,Mexico,Spanish,4,8900,NA,True,married or domestic partnership,0,100,8.333333333,NA,NA
38,female,NA,Spain,Spanish,10,NA,NA,False,NA,150,4,0.3333333333,NA,1
52,male,NA,United States of America,English,20,22000,NA,False,NA,0,120,10,NA,NA
22,male,NA,United States of America,English,8,55000,NA,False,NA,50,5,0.4166666667,NA,1
24,female,NA,United States of America,English,10,40000,2000,False,NA,1700,10,0.8333333333,NA,NA
20,male,NA,Portugal,Portuguese,36,NA,NA,False,NA,20,32,2.666666667,NA,NA
31,male,NA,Croatia,Serbo-Croatian,3,10000,NA,False,married or domestic partnership,0,3,0.25,NA,NA
29,male,NA,United States of America,English,20,NA,NA,False,NA,0,14,1.166666667,NA,1
23,male,NA,United States of America,English,30,NA,140000,False,NA,300,22,1.833333333,NA,NA
24,male,NA,United States of America,English,10,12000,NA,False,NA,3500,6,0.5,NA,NA
24,male,NA,United States of America,English,8,21000,NA,False,NA,30,4,0.3333333333,NA,1
